Competitor Name,Website,Must to Have,Nice to Have,Edge over competitors,Assignee,Comments,Customer Segment ,Market Segment ,,,,,,,,,,,,,,,,,
1st Provider's Choice,https://1stproviderschoice.com/,,,,,,,,,,,,,,,,,,,,,,,,
Access,https://www.accessefm.com/,,,,,,,,,,,,,,,,,,,,,,,,
Advanced MD,https://www.advancedmd.com/,,,,,,,,,,,,,,,,,,,,,,,,
AdvanTech,https://www.advantech.com/en-us/iretail-hospitality/solutions/detail/self-service-patient-information-kiosks,,,,,,,,,,,,,,,,,,,,,,,,
Aila Tech,https://www.ailatech.com/vertical/healthcare/,,,,,,,,,,,,,,,,,,,,,,,,
AthenaHealth,https://www.athenahealth.com/solutions/patient-engagement,,,,,,,,,,,,,,,,,,,,,,,,
Axiamed,https://www.axiamed.com/solutions/,,,,,,,,,,,,,,,,,,,,,,,,
BestDocApp,https://www.bestdocapp.com/,,,,,,,,,,,,,,,,,,,,,,,,
bridgeinteract,https://www.bridgeinteract.io/,,,,,,,,,,,,,,,,,,,,,,,,
Carecloud - Breeze,https://www.carecloud.com/,,,,,,,,,,,,,,,,,,,,,,,,
Centralreach,https://centralreach.com/,,,,,,,,,,,,,,,,,,,,,,,,
Change Healthcare,https://www.changehealthcare.com/,,,,,,,,,,,,,,,,,,,,,,,,
cipherhealth,https://cipherhealth.com/,,"* Realtime patient Feedback-  HCAHPS feedback form
Self-Service Rounding- 
Chatbot in patient portal ",,Ankith,Generate an NPS score?,,,,,,,,,,,,,,,,,,,
Clearwave,https://www.clearwaveinc.com/,,,,,,,,,,,,,,,,,,,,,,,,
Cliexa,https://www.cliexa.com/,,,,,,,,,,,,,,,,,,,,,,,,
Cliniko,https://www.cliniko.com/,,,,,,,,,,,,,,,,,,,,,,,,
CompuGroup medical (CGM),https://www.cgm.com/,,,,,,,,,,,,,,,,,,,,,,,,
Creo,https://creochange.com/quick-and-easy-patient-onboarding/,,,,,,,,,,,,,,,,,,,,,,,,
Curago Health,https://curagohealth.com/patient-intake-software/,,,,,,,,,,,,,,,,,,,,,,,,
CureMD,https://www.curemd.com/,,,,,,,,,,,,,,,,,,,,,,,,
doctible,https://www.doctible.com/,,,,,,,,,,,,,,,,,,,,,,,,
DrChrono,https://www.drchrono.com/,,,,,,,,,,,,,,,,,,,,,,,,
EloTouch,https://www.elotouch.com/healthcare,,,,,,,,,,,,,,,,,,,,,,,,
Epion Health,https://epionhealth.com/patient-engagement-software/patient-check-in-software/,,,,,,,,,,,,,,,,,,,,,,,,
EZReferral,https://ezreferral.org/patient-onboarding/,,,,,,,,,,,,,,,,,,,,,,,,
FollowMyHealth,https://about.followmyhealth.com/patient-engagement-platform/,,,,,,,,,,,,,,,,,,,,,,,,
FormDr,https://formdr.com/,,,,,,,,,,,,,,,,,,,,,,,,
Formstack,https://www.formstack.com/,,,,,,,,,,,,,,,,,,,,,,,,
Frank Mayer,https://www.frankmayer.com/,,,,,,,,,,,,,,,,,,,,,,,,
Get Well ,https://www.getwellnetwork.com/solutions/patient-engagement/practice/,,,"Better UI - Patient Intake 
Better Website 
Eligibility",,,,,,,,,,,,,,,,,,,,,
GreyFinch,https://greyfinch.com/,,,,,,,,,,,,,,,,,,,,,,,,
Health Asyst - Checkin Asyst,https://www.healthasyst.com/checkinasyst/,,,,,,,,,,,,,,,,,,,,,,,,
Health iPass,https://www.healthipass.com/,,,,,,,,,,,,,,,,,,,,,,,,
Healthmark group,https://www.healthmark-group.com/,,,,,,,,,,,,,,,,,,,,,,,,
Imprivata,https://www.imprivata.com/,,,,,,,,,,,,,,,,,,,,,,,,
inSynchus,https://www.insynchcs.com/,,,,,,,,,,,,,,,,,,,,,,,,
IntakeQ,https://intakeq.com/,,,,,,,,,,,,,,,,,,,,,,,,
Intelichart,https://www.intelichart.com/,"1. Laboratory Result 
2. Radiology Result 
3. Medication Reminder 
4. Appointment with Relative
5. Android and iOS mobile application",,,,,,,,,,,,,,,,,,,,,,,
Interlace Health,https://interlacehealth.com/,,,,,,,,,,,,,,,,,,,,,,,,
Intiveo,https://intiveo.com/,,,,,,,,,,,,,,,,,,,,,,,,
Intouch with Health ,https://www.intouchwithhealth.co.uk/our-solutions/mobile-appointment-manager/,,"1. Virtual Clinics - integrated video
2. The Mobile Appointment Manager app enables patients to check-in for their appointment
3. Synopsis iQ is the complete digital pre-op assessment platform, from initial questionnaire through to post-operative outcomes. Providing clarity, efficiency and value. Reducing cancellation rates and risk. Increasing patient throughput and theatre utilisation.",Better UI ,,,,,,,,,,,,,,,,,,,,,
Intrado,https://www.televox.com/   https://www.intrado.com/,,,,,,,,,,,,,,,,,,,,,,,,
JellyFish Health acquired by Millennia,https://jellyfishhealth.com/,,,,,,,,,,,,,,,,,,,,,,,,
Kareo,https://www.kareo.com/patient-engagement,"1. iOS appliction 
We built an application for iPad, iPhone and Apple Watch that allows you to view appointments, write notes, send superbills with ease!",1. Telehealth,,,,,,,,,,,,,,,,,,,,,,
Kyruus,https://www.kyruus.com/,,,,,,,,,,,,,,,,,,,,,,,,
lumahealth,https://www.lumahealth.io/,,,,,,,,,,,,,,,,,,,,,,,,
mConsent,https://mconsent.net/,,,,,,,,,,,,,,,,,,,,,,,,
MedFusion,https://www.medfusion.com/,,,,,,,,,,,,,,,,,,,,,,,,
Mend,https://www.mendfamily.com/,,,,,,,,,,,,,,,,,,,,,,,,
NexHealth,https://www.nexhealth.com/,,,,,,,,,,,,,,,,,,,,,,,,
NexTech,https://www.nextech.com/,,,,,,,,,,,,,,,,,,,,,,,,
Notable Health,https://www.notablehealth.com/,1. Schedule appointment with Chatbot,"1. Patient AI - Analyze the patient’s clinical history, digital engagement preferences, and more to develop personalized recommendations.
2. Prescription refills - Guide patients through the medication refill process without any phone calls.",Two-way texting ,Vaishak,,,,,,,,,,,,,,,,,,,,
Orbitia,https://orbita.ai/,,Dashboards for staff to monitor pipeline of the patient forms,,Ankith,"We already have this in pipeline, but there is also an ability for them to save the progress and come back later. this is seen on the dashboard as analytics for the staff. We can have halfway reminders. I feel that the major reason for patients not filling the pre-regs is that the form is too long and they don't have that much attention span at once. ",,,,,,,,,,,,,,,,,,,
Patient Communicator,https://www.patientcommunicator.com/,,,,,,,,,,,,,,,,,,,,,,,,
PatientPop,https://www.patientpop.com/,,,,,,,,,,,,,,,,,,,,,,,,
PatientTrak,https://www.patienttrak.net/,,,,,,,,,,,,,,,,,,,,,,,,
PatientWorks,https://www.patientworks.com/,,,,,,,,,,,,,,,,,,,,,,,,
Phreesia,https://www.phreesia.com/,"1. Online scheduling 
   1.1 Dashboard for managing appt request, appt confirmation
2. No Show follow-up message 
3. Surveys
4. Apple Pay and Google pay
5. Payment receipt as PDF attachment ","1. Deliver educational content based on previous visit reason
Targeted educational outreach
2. PAM (Patient Activation Measure) - PAM is the gold standard in measuring individuals’ ability to manage their own health
3. Digitally administer patient-reported outcomes (PROs) and screening tools
4. Referral ","1. Two-way texting 
2. Epic : Patient Check-In through RFID and Face
3. Wait time dashboard at location and Facility level 
4. Form builder
5. New flow check-in",Vaishak,,,,,,,,,,,,,,,,,,,,
Pomelo Health,https://www.pomelohealth.com/patient-engagement,,,,,,,,,,,,,,,,,,,,,,,,
QuadraMed,https://www.quadramed.com/,User drivers license to search for patients and create new records in the registration system if needed. Do a database search to identify patient record duplicates ahead of implementing biometrics,"""provider Master Index"" for tracking providers",,Morgan,Like their focus on EHR migrations. Good opportunity/value we can bring,,,,,,,,,,,,,,,,,,,
Relatient,https://www.relatient.com/,Patient self-scheduling,chat bot/live chat agent ,,Morgan,,,,,,,,,,,,,,,,,,,,
Right Patient,http://www.rightpatient.com/,,,,,,,,,,,,,,,,,,,,,,,,
Simplepractice,https://www.simplepractice.com/,,,,,,,,,,,,,,,,,,,,,,,,
Solutionreach,https://www.solutionreach.com/,,,,,,,,,,,,,,,,,,,,,,,,
Televox,https://televox.com/,,,,,,,,,,,,,,,,,,,,,,,,
Tonic,https://tonicforhealth.com/,"We have all important module which they have
","1. Patient Screening & Risk Assessments
Tonic’s automated screening tool allows organizations to quickly and easily capture patient risk information during the patient intake process and make it readily available for clinicians – resulting in a visit that’s more about the patient and less about data entry","Clinical Resource Certification 
Form Builder ",,,,,,,,,,,,,,,,,,,,,
TouchHealth,https://touchhealth.com/,,,,,,,,,,,,,,,,,,,,,,,,
Triassic Solutions,https://triassicsolutions.com/healthcare-solutions/,,,,,,,,,,,,,,,,,,,,,,,,
Updox,https://www.updox.com/,,,,,,,,,,,,,,,,,,,,,,,,
VecnaHealth,https://vecnahealthcare.com/,,,,,,,,,,,,,,,,,,,,,,,,
Weave,https://www.getweave.com/,"1. Online scheduling 
2. Email Marketing                                                                                       3. Analytics                                                                                                         a) Practise Analytics b) Message Analytics c) Review Analytics","1. Patient and practice analytics on the Staff portal.
2. Team chat mobile app. 
3. Weave Phone - Know more about patients when they call. Identify heavy call-times. Make calls from anywhere. Provide a better phone experience for you, your staff and your patients. That's Weave Phones.                                                     4. Immediate Follow up for missed calls.                                     5. Respond when Unavailable                                                        6. Mobile application ",,Vaishak,,,,,,,,,,,,,,,,,,,,
Well health,https://well.company/,,,,,,,,,,,,,,,,,,,,,,,,
Yapiaapp,https://yapiapp.com/,,,,,,,,,,,,,,,,,,,,,,,,
,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7736407/,Ability to collect multiple biometrics (multiple fingers and face),surgery application for PPID-verify patient's identify in the prep room and in the OR,,Morgan,Found this case study/clinical trial conducted by NIH that seems intertesting,,,,,,,,,,,,,,,,,,,
,https://artera.io/,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
